Resumen generado por la IA,Oportunidades relacionadas,Nombre,Destinatarios,URL,País,Fecha de cierre,Publicar,Entidad,Inscripcion,Obtener Base URL,Obtener BASE URL?,Og_Resumida,Obtener Disciplinas,Base URL,Categoría,Disciplina,Created time,Estado de la oportunidad,AI keywords,Top,Obtener Disciplina,Instituciones,Tutorial,URL Tutorial,Texto Tutorial
Residencia︱Residencia artística Barcelona,Residencias Joaquim Jordà para cineastas (https://www.notion.so/Residencias-Joaquim-Jord-para-cineastas-2329dd874b3a813cb725f372863f0727?pvs=21),Residencia artística en Barcelona,Revisar,https://app.datarte.art/convocatorias/residency-art-barcelona-spain-2026,España,"September 30, 2025",Yes,R.A.R.O (Barcelona),,,No,"Residencia artística en Barcelona dirigida a artistas de cualquier nacionalidad, incluyendo latinoamericanos, que deseen desarrollar o profundizar su práctica en un entorno internacional; está abierta a diversas disciplinas artísticas, con énfasis en arte performático. La convocatoria ofrece 1 beca completa y 2 medias becas para participantes de la plataforma Datarte, aunque no se especifica el monto exacto destinado a los seleccionados ni los detalles sobre apoyo financiero adicional. No se menciona la existencia de un pago de inscripción obligatorio para postular.",,https://www.esrarobarcelona.com,Residencia,"Otras, Multidisciplinar, Escénicas","August 2, 2025 10:20 PM",,,No,No,,No,,
Residencia︱Experiencia inmersiva España Rural,Goethe Institut: Programa para jóvenes profesionales del teatro en Alemania (https://www.notion.so/Goethe-Institut-Programa-para-j-venes-profesionales-del-teatro-en-Alemania-2369dd874b3a81c9b668d0b6ad0bae86?pvs=21),Experiencia inmersiva en un pueblo de la España Rural,Revisar,https://app.datarte.art/convocatorias/tarimalab-arte-cultura-y-vida-rural-682,España,"December 27, 2025",Yes,TarimaLab,,,No,"Dirigida a artistas y creadores de todas las disciplinas interesados en desarrollar un proyecto inmersivo en un pueblo de la España rural, la oportunidad Experiencia inmersiva en un pueblo de la España Rural no requiere pago de inscripción, contempla artes visuales, escénicas, música, literatura, audiovisuales, diseño y otras expresiones culturales, y ofrece a los seleccionados una residencia artística con alojamiento, manutención y un estipendio de 500 euros para producción; la convocatoria está abierta a postulantes internacionales, incluyendo artistas de Latinoamérica.",,https://app.datarte.art/convocatorias/tarimalab-arte-cultura-y-vida-rural-682,Convocatoria,"Otras, Multidisciplinar, ArtesVisuales","August 2, 2025 10:21 PM",,,No,No,,No,,
Concurso︱The Art Project,"SUGART. Certámenes de arte emergente - Fotografía (https://www.notion.so/SUGART-Cert-menes-de-arte-emergente-Fotograf-a-1b89dd874b3a81948cb0d725e22d827e?pvs=21), Premio | Premio Asturias Joven de Poesía, Narrativa y Textos Teatrales 2025 (https://www.notion.so/Premio-Premio-Asturias-Joven-de-Poes-a-Narrativa-y-Textos-Teatrales-2025-20f9dd874b3a81209bfbfe8f83072faa?pvs=21)",Concurso  para Artistas Emergentes 2025 📲,Revisar,https://app.datarte.art/convocatorias/THE-ART-PROJECT-678,México,"August 31, 2025",Yes,The art project latinoamerica,Pago,,No,"The art project es un proyecto creado por artistas y para artistas; nuestro objetivo es fomentar la visibilidad y el desarrollo de artistas emergentes a través de una plataforma que celebre la creatividad, innovación y diversidad en las artes visuales sin importar edad o preparación académica , ya que sabemos que nunca es tarde para empezar en el arte y que hay mucho talento nato y autodidacta allá fuera queriendo ser visto ¿Quiénes pueden participar?
- Artistas en las primeras etapas de su carrera con o sin formación académica pero tu estilo debe ser único
- Mayores de 18 años y no hay limite de edad
- Residencia en México (sin importar nacionalidad )
- Disciplinas visuales : pintura, dibujo, fotografía, escultura",,https://app.datarte.art/convocatorias/THE-ART-PROJECT-678,Convocatoria,"Visuales, Pintura, Fotografía","August 2, 2025 10:21 PM",,,No,No,,No,,
Convocatoria︱Razor Reel Flanders Film Festival,"Visions du Réel, Festival Internacional de Cine de Nyon (https://www.notion.so/Visions-du-R-el-Festival-Internacional-de-Cine-de-Nyon-2329dd874b3a81ebad54c218a1dcbb02?pvs=21)",Razor Reel Flanders Film Festival (member of the MIFF),Revisar,https://festhome.com/festival/9544,Bélgico,"August 15, 2025",Yes,Razor Reel,,,No,"Razor Reel Flanders Film Festival (member of the MIFF) está dirigido a cineastas de todo el mundo que deseen presentar cortometrajes y largometrajes de género fantástico, terror, ciencia ficción y thriller. La inscripción requiere el pago de una tasa, cuyo monto varía según la fecha y la categoría de la obra presentada; la información sobre el monto exacto debe consultarse en la página de inscripción, ya que puede actualizarse anualmente y no figura explícitamente en la descripción general. No se especifica un premio monetario para los seleccionados o ganadores, ni se mencionan estipendios directos para artistas; los premios suelen ser de reconocimiento y exhibición dentro del festival. La convocatoria está abierta a participantes internacionales, incluyendo artistas de Latinoamérica, sin restricciones geográficas señaladas.",,https://www.razorreel.com,Convocatoria,Cine,"August 2, 2025 10:25 PM",,,No,No,,No,,
Convocatoria︱LesGaiCineMad,"Convocatoria | Festival Internacional de Cine Fantástico de Castilla y León Terroríficamente Cortos (https://www.notion.so/Convocatoria-Festival-Internacional-de-Cine-Fant-stico-de-Castilla-y-Le-n-Terror-ficamente-Cortos-1d49dd874b3a81c1ba0bc6b7f84a93a3?pvs=21), Zaragoza International Film Festival (https://www.notion.so/Zaragoza-International-Film-Festival-2369dd874b3a81e78b49d56c20c6cfe3?pvs=21)",LesGaiCineMad Madrid International LGBTI+ Film Festival,Revisar,https://festhome.com/festival/2014,España,"August 15, 2025",Yes,LesGaiCineMad,,,No,"El LesGaiCineMad Madrid International LGBTI+ Film Festival está dirigido a cineastas, productores y realizadores de cualquier nacionalidad, sin restricción geográfica explícita, por lo que pueden participar artistas de Latinoamérica; la convocatoria abarca obras cinematográficas de temática LGBTI+ en todas las disciplinas del cine (largometrajes, cortometrajes, documentales, animación, etc.). Para participar es obligatorio pagar una tasa de inscripción cuyo monto varía según la categoría y el periodo de inscripción, generalmente entre 8 y 30 euros aproximadamente, y no se mencionan exenciones para artistas latinoamericanos. No se especifica en las bases un monto de premio económico para los ganadores, ya que el reconocimiento principal consiste en la exhibición de las obras y la obtención de galardones y diplomas, aunque en algunas ediciones pueden otorgarse premios adicionales no garantizados; se recomienda revisar la página oficial del festival para confirmar si hay premios en metálico en la convocatoria vigente.",,https://www.lesgaicinemad.com/actualidad/671123319fbea1b7c1d14c45,Convocatoria,Cine,"August 2, 2025 10:25 PM",,,No,No,,No,,
Convocatoria︱Curta-Se Festival Iberoamericano Cinema Sergipe,Convocatoria | Festival Internacional de Cine Fantástico de Castilla y León Terroríficamente Cortos (https://www.notion.so/Convocatoria-Festival-Internacional-de-Cine-Fant-stico-de-Castilla-y-Le-n-Terror-ficamente-Cortos-1d49dd874b3a81c1ba0bc6b7f84a93a3?pvs=21),Curta-Se Festival Iberoamericano de Cinema de Sergipe,Revisar,https://festhome.com/festival/6282,Brasil,"August 16, 2025",Yes,Curta-Se,,,No,"Curta-SE 24 busca facilitar al público de Sergipe el acceso y la difusión de las producciones audiovisuales iberoamericanas, fomentar el intercambio entre cineastas brasileños e iberoamericanos y educar al público sobre el cine brasileño. También busca promover la accesibilidad, la economía creativa y la sostenibilidad en las ciudades. El Festival se compone de las siguientes secciones: Cine Digital Iberoamericano: Películas realizadas por productores y/o directores iberoamericanos o residentes en Brasil durante más de dos años, finalizadas entre 2023 y 2025, pueden participar en las siguientes categorías: a) Cortometraje Iberoamericano: hasta 15 minutos de duración, 
b) Cortometraje Sergipe
c) Video de Bolsillo: hasta 4 minutos de duración; producido con un teléfono celular o cámara digital;
d) Video Musical: hasta 4 minutos de duración; hasta 10 obras seleccionadas;
e) Tráiler: hasta 4 minutos de duración; Hasta 5 obras seleccionadas;
f) Serie web: hasta 10 minutos de duración; hasta 5 obras seleccionadas.
g) Largometraje: de 70 minutos o más, en formato digital, finalizado entre 2023 y 2025; hasta 5 películas seleccionadas.
",,https://curtase.com.br/2025/,Convocatoria,"Cine, Cortometraje, Largometraje","August 2, 2025 10:25 PM",,,No,No,,No,,
Convocatoria︱Viña del Mar Int. Film Festival,,Viña del Mar International Film Festival,Revisar,https://festhome.com/festival/2079,Chile,"August 18, 2025",Yes,Festival Internacional de Cine Viña del Mar,,,No,"El Viña del Mar International Film Festival está dirigido a cineastas de todo el mundo, incluyendo América Latina, interesados en enviar cortometrajes, largometrajes, documentales, animaciones, guiones y obras audiovisuales de diversos géneros. La convocatoria requiere el pago de una cuota de inscripción, cuyo monto específico debe consultarse al realizar la postulación, y dicha cuota no es reembolsable. La disciplina principal es el cine en todas sus formas, incluyendo propuestas artísticas audiovisuales y musicales. El festival otorga premios en efectivo, siendo el monto principal de 11.000 euros para la categoría principal, aunque pueden existir otros premios según la sección o competencia. La oportunidad está abierta a artistas latinoamericanos sin restricciones geográficas explícitas en la elegibilidad.",,https://cinevina.cl,Convocatoria,Cine,"August 2, 2025 10:26 PM",,,No,No,,No,,
Convocatoria︱Espanto Film Fest,Speak Volumes Screening Series: Memory and Haunting (https://www.notion.so/Speak-Volumes-Screening-Series-Memory-and-Haunting-2399dd874b3a81d29bb5c25e051a4a82?pvs=21),Espanto Film Fest,Revisar,https://festhome.com/festival/5209,México,"August 31, 2025",Yes,Espanto Film Fest,,,No,"Espanto Film Fest está dirigido a cineastas de todo el mundo que presenten cortometrajes y largometrajes dentro de los géneros de terror, fantástico y ciencia ficción. La convocatoria requiere el pago de una tasa de inscripción, cuyo monto varía según la fecha y la categoría de la obra; por ejemplo, el coste para cortometrajes internacionales puede ser de aproximadamente 6 € y para largometrajes 10 €, aunque estos valores pueden cambiar y se recomienda verificar en la plataforma antes de enviar la obra. No se especifican premios monetarios para los seleccionados o ganadores; los premios consisten principalmente en trofeos y menciones. La oportunidad está abierta a participantes de Latinoamérica y no existen restricciones geográficas para postular, siempre que las obras cumplan con las temáticas y los requisitos técnicos establecidos en las bases.",,https://planisferio.com.mx/espantofilmfest,Convocatoria,Cine,"August 2, 2025 10:26 PM",,,No,No,,No,,
Convocatoria︱Santiago Horror Film Festival,,Santiago Horror Film Festival,Revisar,https://festhome.com/festival/4132,Chile,"September 7, 2025",Yes,Santiago Horror Film Festival,,,No,"Santiago Horror Film Festival está dirigido a cineastas de todo el mundo que trabajen en los géneros de terror, fantasía y ciencia ficción, aceptando tanto cortometrajes como largometrajes y videoclips relacionados con estos géneros. La oportunidad requiere el pago de una tasa de inscripción que varía según la categoría y el momento de envío, y aunque se aceptan obras de cualquier país, la convocatoria está explícitamente abierta a participantes internacionales, incluyendo artistas de Latinoamérica. No se especifica en la información pública un monto de premio económico destinado a los artistas seleccionados o ganadores; los detalles sobre premios monetarios, si existen, deberían confirmarse revisando las bases oficiales completas del festival, ya que no están disponibles de forma clara en la descripción principal.",,https://www.santiagohorror.com,Convocatoria,"Cine, Terror, Fantasía","August 2, 2025 10:26 PM",,,No,No,,No,,
Residencia︱C3A,Residencias Joaquim Jordà para cineastas (https://www.notion.so/Residencias-Joaquim-Jord-para-cineastas-2329dd874b3a813cb725f372863f0727?pvs=21),Convocatoria Residencias artísticas 2025-26 en el C3A,Revisar,https://hipermedula.org/2025/07/convocatoria-residencias-artisticas-2025-26/,España,"August 25, 2025",Yes,C3A,,,No,"Dirigida a artistas con trayectoria profesional demostrable en creación contemporánea, la Convocatoria Residencias artísticas 2025-26 en el C3A ofrece residencias de tres meses en dos periodos posibles (marzo-mayo o septiembre-noviembre), con ayudas de hasta 7.000 euros para los seleccionados; no se menciona pago de inscripción para participar. Están abiertas a diversas disciplinas vinculadas al arte contemporáneo y requieren la presentación de un proyecto concreto y viable. La información disponible no especifica restricciones geográficas, por lo que se asume que artistas de Latinoamérica pueden postular.",,https://www.c3a.es/exposiciones-actuales/detalle/-/asset_publisher/pQ0PxnELFHyj/content/convocatoria-residencias-artisticas-2025-26,Convocatoria,"Otras, Multidisciplinar","August 2, 2025 10:27 PM",,,No,No,,No,,
