Resumen generado por la IA,País,Entidad,Og_Resumida,Base URL,Categoría,Disciplina,Disciplina Limpia,Inscripcion,Monto,Moneda,Monto_USD,Inscripcion_USD_web
Fondos | PECDA Estado de México 2025,México,Gobierno de México,"Dirigido a la comunidad artística mexicana, especialmente del Estado de México (siendo requisito ser originario o residente por al menos tres años). No requiere pago para participar. Otorga 54 estímulos económicos en diversas categorías artísticas, incluyendo una nueva categoría de Apoyo a colectivas artísticas. No está abierto para artistas de otros países de Latinoamérica.",https://convocatorias.cultura.gob.mx/vigentes/detalle/3928/pecda-estado-de-mexico-2025,Fondos,Multidisciplinar,Otras,Sin cargo,,MXN,,
Convocatoria | Diplomado en gestión cultural de base comunitaria. Cultura y recursos bioculturales,México,Secretaría de Cultura del Gobierno de México,"Dirigido a personas interesadas y con experiencia en proyectos de gestión cultural comunitaria, medio ambiente y patrimonio biocultural, incluyendo diversas disciplinas relacionadas. No requiere pago para participar y ofrece becas preferentes a comunidades indígenas. Está abierto únicamente a residentes de México.",https://convocatorias.cultura.gob.mx/vigentes/detalle/3927/diplomado-gestion-cultural,Convocatoria,"Otras, Gestión Cultural",Otras,Sin cargo,,MXN,,
Fondos | PECDA Coahuila 2025,México,Gobierno de México,"Dirigido a artistas, estudiantes, intérpretes y colectivos culturales residentes en Coahuila. No requiere pago para participar. Disciplinas: varias ramas artísticas; no está abierto a artistas de Latinoamérica fuera del estado de Coahuila, México.",https://convocatorias.cultura.gob.mx/vigentes/detalle/3924/pecda-coahuila-2025,Fondos,Multidisciplinar,Otras,Sin cargo,"2,400,000 MXN.",MXN,128064.62,
Convocatoria | ¿A qué sabe la patria? 2025,México,Secretaría de Cultura del Gobierno de México,"Dirigida a colectivas de hasta cinco mujeres cocineras indígenas o afromexicanas residentes en México; no requiere pago para participar. La disciplina involucrada es la gastronomía tradicional. Con el objetivo de fortalecer la cultura alimentaria y la biodiversidad de México, reconociendo sus saberes y tradiciones, mediante la presentación de recetas con ingredientes tradicionales y endémicos. Se otorgará un apoyo económico de 100 mil pesos a las cinco primeras recetas ganadoras y se reconocerán con 20 mil pesos a cinco menciones honoríficas. No está abierta a artistas de Latinoamérica, solo a residentes en comunidades indígenas y afromexicanas de México.",https://convocatorias.cultura.gob.mx/vigentes/detalle/3920/a-que-sabe-la-patria-2025,Convocatoria,"Otras, Gatronomía tradicional",Otras,Sin cargo,100000.0,MXN,5700.0,
Fondos | PECDA Tabasco 2025,México,Gobierno de México,"Dirigido a creadores y colectivos artísticos. No requiere pago para participar. Disciplinas: diversas ramas del arte. Abierto solo a residentes del estado de Tabasco, México; no está abierto a artistas de toda Latinoamérica.",https://convocatorias.cultura.gob.mx/vigentes/detalle/3922/pecda-tabasco-2025,Fondos,Multidisciplinar,Otras,Sin cargo,,MXN,128064.62*,
Convocatoria | 1er Festival Internacional de Teatro Barroco y Disección Escénica Sor Juana Inés de la Cruz,México,Secretaría de Cultura del Gobierno de México,"Dirigido a artistas escénicos profesionales con 3 años de trayectoria a presentar montajes contemporáneos de textos barrocos (mexicanos o europeos), previamente producidos, estrenados y con una duración entre 40 y 90 minutos. Se seleccionarán cuatro proyectos para realizar dos funciones cada uno (una en el Centro Cultural Helénico y otra en la Universidad del Claustro de Sor Juana) y participar en una ""Mesa de disección"". Cada función tendrá un pago de $20,000 MXN netos. Adicionalmente, un proyecto ganador obtendrá una temporada de cuatro funciones en un recinto del Centro Cultural Helénico en 2026. No se menciona si la convocatoria está abierta a nivel internacional.",https://convocatorias.cultura.gob.mx/vigentes/detalle/3919/1er-festival-internacional-de-teatro-barroco,Convocatoria,"Escénicas, Teatro",Escénicas,Sin cargo,20000.0,MXN,1140.0,
Fondos | PECDA Guanajuato 2025,México,Gobierno de México,"Dirigido a la comunidad artística de Guanajuato, incluyendo colectivas artísticas (especialmente mujeres); no requiere pago para participar. Involucra diversas disciplinas artísticas. No está abierto a artistas de Latinoamérica fuera del estado de Guanajuato.",https://convocatorias.cultura.gob.mx/vigentes/detalle/3921/pecda-guanajuato-2025,Fondos,Multidisciplinar,Otras,Sin cargo,,MXN,128064.62*,
Fondos | PECDA Colima 2025,México,Gobierno de México,"Dirigido a creadores y artistas nacidos o residentes en cualquiera de los 10 municipios de Colima, México. No requiere pago para participar. Las disciplinas artísticas incluidas son artes plásticas, danza, literatura, medios audiovisuales y alternativos, música, patrimonio cultural y teatro. No está abierto para artistas de Latinoamérica en general, solo para personas vinculadas al estado de Colima.",https://convocatorias.cultura.gob.mx/vigentes/detalle/3918/pecda-colima-2025,Fondos,Multidisciplinar,Otras,Sin cargo,,MXN,128064.62*,
Fondos | PECDA Puebla 2025,México,Gobierno de México,"Dirigido a la comunidad artística de Puebla, incluyendo adolescentes, jóvenes creadores, creadores con trayectoria, grupos artísticos y gestores culturales. No requiere pago. Abarca disciplinas como artes circenses, plásticas, cine, danza, literatura, medios audiovisuales, música y teatro. No está abierto para artistas de Latinoamérica en general, solo para residentes o nacidos en Puebla (con requisitos específicos de residencia para extranjeros).",https://convocatorias.cultura.gob.mx/vigentes/detalle/3917/pecda-puebla-2025,Fondos,Multidisciplinar,Otras,Sin cargo,,MXN,128064.62*,
Fondos | PECDA San Luis Potosí 2025,México,Gobierno de México,"Dirigido a la comunidad artística, incluyendo artistas jóvenes, creadores con trayectoria, colectivos y colectivas artísticas indígenas en las disciplinas de Artes visuales, Danza, Literatura, Medios audiovisuales y alternativos, Música y Teatro. No requiere pago para participar. La convocatoria está abierta para residentes del estado de San Luis Potosí, México, no para artistas de toda Latinoamérica.",https://convocatorias.cultura.gob.mx/vigentes/detalle/3914/pecda-san-luis-potosi-2025,Fondos,Multidisciplinar,Otras,Sin cargo,,MXN,128064.62*,
