Nombre,Resumen generado por la IA,País,Fecha de cierre,Entidad,Og_Resumida,Base URL,Categoría,Disciplina,Disciplina Limpia,Inscripcion,Monto,Moneda,Monto_USD,Inscripcion_USD_web
Convocatoria | Jóvenes Compositores 2025,Convocatoria | Jóvenes Compositores 2025,Colombia,"June 3, 2025",Banco de la República de Colombia,"Dirigida a jóvenes compositores y compositoras colombianos/as (residentes en el país o en el exterior) y a extranjeros/as residentes en Colombia, preferiblemente estudiantes o egresados/as de programas musicales con énfasis en composición o que estén componiendo activamente. La convocatoria se divide en tres categorías según el año de nacimiento (1990-2004), y seleccionará hasta cuatro propuestas. Los/as compositores/as elegidos recibirán asesoría de Victoriano Valencia y sus obras serán interpretadas y grabadas por el ensamble CEPROMUSIC en la Biblioteca Luis Ángel Arango. Se requiere enviar una propuesta de obra escrita para entre 4 y 13 intérpretes.",https://www.banrepcultural.org/noticias/convocatoria-jovenes-compositores-2025,Convocatoria,"Música, Composición",Música,Sin cargo,,COP,,
Fondo | Fondo de Estímulo a la Formación y Creación Artística 2025,Fondo | Fondo de Estímulo a la Formación y Creación Artística 2025,Uruguay,"may 6, 2025",Ministerio de Educación y Cultura de Uruguay,"Dirigido a artistas uruguayos/as o residentes legales definitivos/as mayores de 18 años, y otorga 60 becas en las disciplinas de artes visuales, audiovisual, danza, letras, música, teatro, arte circense y títeres. Las postulaciones se dividen en dos llamados: Eduardo Víctor Haedo (formación), con becas de $100.000 para artistas emergentes y $200.000 para profesionales, y Justino Zavala Muniz (creación), con becas de $200.000 a $300.000 según trayectoria. El objetivo es apoyar la formación y profesionalización del sector artístico en todo el país.",https://www.gub.uy/ministerio-educacion-cultura/comunicacion/noticias/fondo-estimulo-formacion-creacion-artistica-2025,Fondos,Multidisciplinar,Otras,Sin cargo,900000.0,UYU,225270.09*,
Apoyo | Apoyos a la internacionalización de las artes escénicas INAE,Apoyo | Apoyos a la internacionalización de las artes escénicas INAE,Uruguay,"December 31, 2025",Instituto Nacional de Artes Escénicas (INAE) de la Dirección Nacional de Cultura de Uruguay,"Dirigido a artistas, gestores, productores y colectivos de artes escénicas de Uruguay. Proceso para solicitar contribuciones económicas destinadas al apoyo de propuestas de artes escénicas en el exterior durante 2025, con un enfoque exclusivo en cubrir costos de traslados. Las solicitudes se recibirán de forma continua a través de la plataforma y deben presentarse con un mínimo de 8 semanas de anticipación a la actividad. Pueden postular tanto uruguayos como extranjeros con residencia legal permanente, mayores de 18 años, que representen a colectivos o instituciones del área.",https://culturaenlinea.uy/opportunity/single/1500/,Apoyo,Escénicas,Escénicas,Sin cargo,,UYU,100000.00*,
Convocatoria | Festa das Luzes de São Chico 2025,Convocatoria | Festa das Luzes de São Chico 2025,Brasil,"may 9, 2025",Festa das Luzes de São Chico,"Dirigido a artistas de Brasil y de todo el mundo a presentar obras visuales en formato de video para ser proyectadas durante el festival, que se celebrará los días 16 y 17 de mayo de 2025 en São Francisco do Sul (Santa Catarina), Brasil. Pueden participar personas mayores de 18 años (o legalmente emancipadas), sin importar su nacionalidad o lugar de residencia. Se recibirán videos visuales con o sin narrativa, incluyendo abstracciones visuales, arte generativo, collage digital, animación o creaciones realizadas con inteligencia artificial. Se aceptan tanto obras nuevas creadas especialmente para el festival como trabajos existentes adaptados al formato técnico requerido.",https://linktr.ee/festadasluzesoficial,Convocatoria,"Visuales, Cine, Video, Mapping",Cine,Sin cargo,,BRL,,
Premio | Premio a la labor librera,Premio | Premio a la labor librera,Argentina,"June 6, 2025",Feria de editores,Dirigido a librerías de todo el territorio argentino con al menos un año de actividad; no requiere pago para participar. Disciplina: difusión de la literatura y labor librera. No está abierto a artistas ni librerías fuera de Argentina.,https://feriadeeditores.com.ar/premio-a-la-labor-librera/,Premio,"Otras, Librerías",Otras,Sin cargo,2000000.00,ARS,1660.44,
Convocatoria | II Edición del Concurso Internacional de Videocreación ”Hablando (iA+)”,Convocatoria | II Edición del Concurso Internacional de Videocreación Hablando (iA+),España,"may 5, 2025",Aula de Cine y Artes Audiovisuales de la Universidad Rovira i Virgili (ACiAA),"Dirigida a creadores y creadoras mayores de 18 años, de cualquier nacionalidad; no requiere pago para participar. Disciplinas: videocreación y arte audiovisual con enfoque en inteligencia artificial. Abierta a artistas de América Latina.",https://www.urv.cat/ca/vida-campus/art-cultura/cinema/ia/,Convocatoria,"Otras, Video, Audiovisual",Música,Sin cargo,,EUR,,
Fondos | Ayudas IBERESCENA 2025-2026,Fondos | Ayudas IBERESCENA 2025-2026,Múltiples Países,"July 24, 2025",Programa Iberescena,"La convocatoria está centrada en tres Líneas de Ayuda:
a la Creación en Residencia (monto máximo 10.000 euros); a la Coproducción de Espectáculos de Artes Escénicas (monto máximo a solicitar de 15.000 euros); y a la Programación de Festivales y Espacios Escénicos (monto máximo a solicitar de 20.000 euros). Dirigido a creadoras/es, agrupaciones, festivales y espacios escénicos de los 17 países miembros del Programa. Los proyectos que se postulen deberán realizarse entre el 1 de enero y el 15 de diciembre de 2026.",http://www.iberescena.org/convocatorias/lineas-de-ayuda,Fondos,Escénicas,Escénicas,Sin cargo,350000.00,EUR,413589.36*,
Convocatoria | Woolwich Contemporary Print Fair,Convocatoria | Woolwich Contemporary Print Fair,Reino Unido,"June 1, 2025",Woolwich Contemporary Print Fair,"Convocatoria internacional abierta a artistas que trabajan con medios de impresión original para exponer en la Woolwich Contemporary Print Fair 2025. Requiere pago de inscripción de £ 35,00 para la primera presentación, £ 5,00 por cada solicitud posterior.. Disciplina: grabado contemporáneo. No menciona restricciones geográficas, por lo que parece estar abierta a artistas de Latinoamérica. ",https://woolwichprintfair.com,Convocatoria,"Visuales, Grabado",Visuales,Pago,35.0,GBP,43.75,6.25
Convocatoria | Festival MATE 2025,Convocatoria | Festival MATE 2025,Portugal,"June 29, 2025","MATE – Música, Arte, Tecnología y Educación","Dirigido a artistas, colectivos, intérpretes, educadores, investigadores, startups creativas, activistas e innovadores de todo el mundo. Convocatoria para presentar propuestas en las categorías de Música; Arte; Tecnología; y Educación. Requiere pago de inscripción que varia según la fecha del envío. El Festival tendrá lugar del 23 al 26 de octubre de 2025, en el Convento São Francisco, en Coimbra (Portugal).",https://www.matefestival.com/convocatorias/,Convocatoria,"Música, Visuales, Otras, Tecnología, Educación",Música,Pago,350,EUR,400.00*,"€23,90"
Premio | Premios a la Creación 2025 Festival de Arte Sur Andino Arica Barroca,Premio | Premios a la Creación 2025 Festival de Arte Sur Andino Arica Barroca,Chile,"may 11, 2025",Festival de Arte Sur Andino Arica Barroca - Fundación Altiplano,"Convocatoria a artistas del sur andino para que postulen sus trabajos en las categorías de Poesía y Música. Poesía: obras que conserven y regeneren su herencia cultural, sin importar formato o estilo. Los participantes pueden presentar poemas inéditos o publicados en lenguas nativas, como aymara, quechua, kunza o mapuzungún, siempre que incluyan una traducción al castellano. Música: envío de grabaciones de piezas musicales originales o adaptaciones de temas culturalmente relevantes, representando la identidad de pueblos originarios o la música popular andina.",https://www.aricabarroca.cl/convocatoria,Premio,"Música, Literatura, Poesía",Música,Sin cargo,,CLP,,
Convocatoria | 3° Salón Nacional de Artes Visuales del Chaco,Convocatoria | 3° Salón Nacional de Artes Visuales del Chaco,Argentina,"June 20, 2025",Museo Provincial de Bellas Artes René Brusau - Instituto de Cultura del Chaco,"Dirigida a artistas, grupos o colectivos de artistas nativos o residentes en la República Argentina. No se menciona pago para participar. La disciplina principal es artes visuales. La oportunidad está limitada a artistas argentinos, no está abierta para artistas de otros países de Latinoamérica. Incluye un Premio Nacional de Fomento a la Producción de $450.000 pesos argentinos para cada proyecto seleccionado.",https://cultura.chaco.gob.ar/noticia-convocatorias-y-mas-2024-06-13-02-14,Convocatoria,Visuales,Visuales,Sin cargo,9000000.00,ARS,7471.60,
Fondos | Estimulo a la creación Museo Casa de la Memoria de Medellín 2025,Fondos | Estimulo a la creación Museo Casa de la Memoria de Medellín 2025,Colombia,"may 30, 2025",Museo Casa de la Memoria de Medellín - Alcaldía de Medellín,"Dirigida a la ciudadanía en general, víctimas, organizaciones culturales y sociales. Las disciplinas incluyen creación audiovisual, literaria, cómic/historieta y fortalecimiento de lugares de memoria, bajo el concepto ""Las memorias iberoamericanas"". Exclusivo para residentes de la ciudad de Medellín.",https://www.medellin.gov.co/estimuloscultura/MCM,Fondos,"Visuales, Literatura, Cine, Otras",Cine,Sin cargo,"80,000,000",COP,19507.21,
