Nombre,Resumen generado por la IA,Destinatarios,URL,País,Fecha de cierre,Publicar,Entidad,Obtener Base URL,Obtener BASE URL?,Og_Resumida,Obtener Disciplinas,Base URL,Categoría,Disciplina,Created time,Estado de la oportunidad,AI keywords,Top,Obtener Requisitos,Robot Requisitos,Obtener Disciplina,Requisitos,Instituciones,Tutorial,URL Tutorial,Texto Tutorial,Inscripcion
Residencia | Residencia de Creación en Artes Visuales con subvención,Residencia | Residencia de Creación en Artes Visuales con subvención,Destacar,https://www.fondationgrantham.org/en/creation-residency-in-visual-arts,Canadá,"May 28, 2025",Yes,Fondation Grantham,,No,"Dirigido a artistas con al menos cinco años de práctica profesional en artes visuales. No requiere pago. Disciplinas: fotografía, instalación, escultura, pintura, arte gráfico, performance, arte sonoro, prácticas digitales y mediáticas. Abierto a artistas de todo el mundo, incluida Latinoamérica.",,https://www.fondationgrantham.org/en/creation-residency-in-visual-arts,Residencia,"Visuales, Fotografía, Instalación, Escultura, Pintura, Arte gráfico, Performance, Arte sonoro","April 3, 2025 4:44 PM",,,No,No,,No,,,No,,,
Premio | XVIII Premio MAVI UC Arte Joven,Premio | XVIII Premio MAVI UC Arte Joven,,https://app.datarte.art/convocatorias/premio-mavi-uc-arte-joven-chile-2025,Chile,"May 4, 2025",Yes,Museo de Artes Visuales MAVI UC,,No,"Dirigido a artistas visuales de 18 a 35 años, chilenos o extranjeros con residencia y cédula chilena vigente. No requiere pago para participar. Disciplinas: pintura, dibujo, escultura, fotografía, grabado, técnicas mixtas, collage, arte textil, instalación, video instalación, videoarte y arte digital. Abierto solo a participantes que cumplan los requisitos en Chile.",,https://mavi.uc.cl/convocatorias-para-artistas/premio-mavi-uc-2024/,Premio,Visuales,"April 5, 2025 10:00 PM",,,No,No,,No,,,No,,,
Convocatoria | 22a. The Pollux Awards,Convocatoria | 22a. The Pollux Awards,,https://www.recursosculturales.com/pollux-awards/,Virtual,"April 28, 2025",Yes,FotoNostrum Group,,No,"Dirigido a fotógrafos de todo el mundo, profesionales y aficionados, que trabajen en todos los medios, estilos y corrientes de pensamiento. Edad: mayores de 13 años. Exposición en FotoNostrum durante 2026. Requiere pago de inscripción que varia según la cantidad.",,https://www.thepolluxawards.com/rules,Convocatoria,"Visuales, Fotografía","April 5, 2025 10:07 PM",,,No,No,,No,,,No,,,Pago
Premio | Premio Argentino a las Artes Visuales Fundación OSDE,Premio | Premio Argentino a las Artes Visuales Fundación OSDE,Destacar,https://www.recursosculturales.com/premio-artes-visuales-fundacion-osde/,Argentina,"June 1, 2025",Yes,Fundación OSDE,,No,"Dirigido a artistas y colectivos argentinos o extranjeros con residencia de al menos dos años en Argentina, mayores de 18 años. Serán admitidas todas las expresiones de las artes visuales, sin límite de técnica, procedimiento y/o medios digitales. Se podrá presentar una (1) obra por artista o colectivo de artistas. La fecha de realización de la obra no podrá ser anterior al año 2023.
Disciplinas: todas las artes visuales sin restricciones técnicas. No está abierto a artistas de otros países de Latinoamérica.",,https://www.instagram.com/fundacionosde,Premio,Visuales,"April 5, 2025 10:07 PM",Destacar?,,Yes,No,,No,,,No,,,
Premio | Concurso Segundas Películas 2025,Premio | Concurso Segundas Películas 2025,,https://www.recursosculturales.com/incaa-concurso-segundas-peliculas/,Argentina,"April 30, 2025",Yes,Instituto Nacional de Cine y Artes Audiovisuales (INCAA),,No,Dirigido a productores mayores de 18 años acompañados de directores que aspiren a dirigir su segundo largometraje de ficción. No requiere pago para participar. Disciplina: cine (largometrajes de ficción). Abierto exclusivamente a postulantes en Argentina.,,https://www.incaa.gob.ar/concurso-segundas-peliculas-2025/,Premio,"Cine, Largometraje","April 5, 2025 10:07 PM",,,No,No,,No,,,No,,,
Convocatoria | FotoNostrum Portrait Award,Convocatoria | FotoNostrum Portrait Award,,https://www.recursosculturales.com/fotonostrum-portrait-award/,España,"May 26, 2025",Yes,FotoNostrum,,No,Dirigido a fotógrafos profesionales y no profesionales mayores de 15 años de cualquier parte del mundo. Requiere pago. Disciplina: fotografía de retrato. Abierto a artistas de América Latina.,,https://www.theportraitaward.com/,Convocatoria,"Visuales, Fotografía","April 5, 2025 10:08 PM",,,No,No,,No,,,No,,,Pago
Convocatoria | Becas 2025 Museo del Prado,Convocatoria | Becas 2025 Museo del Prado,,https://www.recursosculturales.com/becas-museo-del-prado/,España,"April 28, 2025",Yes,Museo del Prado,,No,"Convocatoria de 12 becas de becas de investigación y formación que promuevan la capacitación técnica de especialistas en materias de la competencia del Museo del Prado: conservación, restauración, museología, desarrollo digital y gestión cultural. Cada una de las becas tendrá una duración de veinticuatro meses (24) consecutivos. Los aspirantes deben tener nacionalidad española o de algún otro Estado Miembro de la UE; ser residente en España en el momento de incorporarse a la beca; poseer un alto dominio del idioma español –hablado y escrito.",,https://www.museodelprado.es/museo/beca/becas-2025-museo-del-prado/66762c9d-453b-1996-5183-d855858ae22e,Beca,"Otras, Conservación, Restauración, Museología, Gestión Cultural","April 5, 2025 10:08 PM",,,No,No,,No,,,No,,,
Convocatoria| VI Premio Portfolio FotoNostrum,Convocatoria | VI Premio Portfolio FotoNostrum,,https://www.recursosculturales.com/fotonostrum-magazine-awards/,España,"May 12, 2025",Yes,Revista FotoNostrum,,No,Dirigido a fotógrafos profesionales y no profesionales a nivel mundial. Requiere pago de inscripción. Disciplina: fotografía. Está abierto a artistas de Latinoamérica. Se seleccionarán al menos 12 portfolios para su publicación en futuros números de la revista.Un portfolio recibirá el Premio FotoNostrum Magazine 2024. La temática es abierta y las imágenes pueden ser de cualquier fecha.,,https://www.fotonostrummag.com/magazine-awards-1,Convocatoria,"Visuales, Fotografía","April 5, 2025 10:09 PM",,,No,No,,No,,,No,,,Pago
Beca | Matriz. Beca de Creación Interdisciplinaria en Artes Escénicas,Beca | Matriz. Beca de Creación Interdisciplinaria en Artes Escénicas,,https://teatrocine-tvedras.pt/projetos,Portugal,"July 18, 2025",Yes,Teatro-Cine de Torres Vedras. Ayuntamiento de Torres Vedras,,No,"Dirigido a artistas mayores de 18 años, residentes en Portugal, en modalidades individuales o colectivas. No requiere pago. Disciplinas: danza, teatro y artes performativas interdisciplinarias. No está abierto para artistas de Latinoamérica.",,https://teatrocine-tvedras.pt/projetos,Beca,Escénicas,"April 5, 2025 10:14 PM",Fuera del Universo,,No,No,,No,,,No,,,
Convocatoria | Common Grounds: Residencia para la Regeneración Urbana y Rural 2025,Convocatoria | Common Grounds: Residencia para la Regeneración Urbana y Rural 2025,,https://on-the-move.org/news/common-grounds-residency-urban-and-rural-regeneration-2025-bulgaria-france-spain,Múltiples Países,"April 13, 2025",Yes,"Citadelle de Marseille (FRA), Gradoscope (BG) y Fundación RIA (ESP)",,No,"Dirigido a artistas de todas las disciplinas, incluyendo artes visuales, arquitectura, video, fotografía, artesanía, artes escénicas, instalación y artes digitales. Se valorará el interés del artista en proyectos que combinen arte, naturaleza, paisaje, arte y ciencia. Los solicitantes deben dominar el inglés. No hay límites de nacionalidad, sin embargo, los candidatos deben residir en Marsella (Francia), Sofía (Bulgaria) o Galicia (España). Los artistas deben trabajar en una de las tres ciudades en cuestión.",,https://gradoscope.com/projects/common-grounds/,Convocatoria,"Multidisciplinar, Arquitectura, Visuales, Escénicas, Digital / Nuevos medios","April 5, 2025 10:15 PM",Fuera del Universo,,No,No,,No,,,No,,,
Convocatoria | Street Art Festival 2025: Past Perspectives,Convocatoria | Street Art Festival 2025: Past Perspectives,,https://on-the-move.org/news/street-art-festival-2025-past-perspectives-art-public-space-czech-republic,República Checa,"June 1, 2025",Yes,Street Art Festival ,,No,"Dirigido a artistas interesados en intervenciones artísticas en espacios públicos. No requiere pago para participar. Disciplina: arte urbano. Abierto a artistas de todo el mundo, incluidas personas de Latinoamérica.",,https://streetart-festival.cz/street-art-festival-in-olomouc-announces-open-call/,Convocatoria,"Visuales, Diseño, Street Art ","April 5, 2025 10:15 PM",,,No,No,,No,,,No,,,
Residencia | Programa de Artista en Residencia 2025,Residencia | Programa de Artista en Residencia 2025,,https://on-the-move.org/news/culture-directorate-malta-artist-residence-initiative-2025-malta,Malta,"April 28, 2025",Yes," Dirección de Cultura de Malta ",,No,"Convocatoria abierta a artistas de todo el mundo, consagrados y emergentes con un mínimo de dos años de experiencia demostrada en su respectivo campo. La residencia proporciona una plataforma para la exploración, la conexión y la reflexión en todas las disciplinas artísticas. La residencia, de un mes de duración, se realizará entre el 01/07 y el 30/09/2025. El presupuesto asignado cubre un máximo de dos artistas, con un presupuesto máximo de 10.000 € por artista. ",,https://direttoratkultura.gov.mt/en/opportunities/,Residencia,Multidisciplinar,"April 5, 2025 10:15 PM",,,No,No,,No,,,No,,,
Residencia | Bom Dia OASis Residency 2025,Residencia | Bom Dia OASis Residency 2025,,https://on-the-move.org/news/cultivamos-cultura-bom-dia-oasis-residency-2025-portugal,Portugal,"April 15, 2025",Yes," Cultivamos Cultura - Programa de residencias OASis",,No,"Convocatoria abierta a creadores, artistas, investigadores internacionales de diversos campos y disciplinas, así como a profesionales y expertos que operan en la intersección de la cultura y otras disciplinas. Las solicitudes pueden presentarse individualmente. Los participantes seleccionados deben estar presentes en Cultivamos Cultura para crear, producir e implementar su proyecto dentro del plazo aprobado.",,https://cultivamoscultura.com/2025/03/03/bom-dia-residency-open-call/,Residencia,"Multidisciplinar, Investigación, Interdisciplinario ","April 5, 2025 10:15 PM",,,No,No,,No,,,No,,,
Beca | Beca de Residencia Heritage in transformation 2026-27,Beca | Beca de Residencia Heritage in transformation 2026-27,,https://on-the-move.org/news/humboldt-universitat-zu-berlin-addressing-heritage-loss-fellowship-2026-27-germany,Alemania,"April 14, 2025",Yes,Käte Hamburger Kolleg | Centre for Advanced Study: inherit. heritage in transformation,,No,"Dirigido a investigadores, artistas, cineastas y curadores con experiencia relevante en estudios de patrimonio. Las solicitudes deberán centrarse en la lucha contra la pérdida del patrimonio y  estar relacionadas con uno o más de los temas rectores: descentrar Occidente, descentrar lo humano y transformar el valor. Disciplinas: artes visuales, cine y áreas relacionadas al patrimonio. Abierto a postulantes de América Latina y otras regiones subrepresentadas.",,https://inherit.hu-berlin.de/open-call,Beca,"Otras, Investigación, Interdisciplinario, Patrimonio Cultural, Cine","April 5, 2025 10:15 PM",,,No,No,,No,,,No,,,
Residencia | Programa de Artistas en Residencia ACAC 2025,Residencia | Programa de Artistas en Residencia ACAC 2025,,https://on-the-move.org/news/aomori-contemporary-art-centre-artist-residence-programme-2025-japan,Japón,"April 13, 2025",Yes,Aomori Contemporary Art Centre,,No,"Dirigido a artistas, curadores e investigadores de todo el mundo. Disciplinas: artes contemporáneas. Los residentes realizarán investigaciones, crearán obras de arte, organizarán diversos eventos y, finalmente, presentarán sus resultados, con el apoyo continuo de los curadores, técnicos y personal del ACAC. Los resultados se presentarán en la sede de este año (del 14 al 29 de noviembre de 2025). El título de este año es ""CAMP"".",,https://acac-aomori.jp/public/application-guideline-artist-in-residence-program-2025-camp/,Residencia,"Visuales, Diseño, Otras, Curaduría, Investigación","April 5, 2025 10:15 PM",,,No,No,,No,,,No,,,
Convocatoria | 17th Edition Prisma Art Priza Rome,Convocatoria | 17th Edition Prisma Art Priza Rome,,https://www.prismaartprize.com/,Italia,"July 5, 2025",Yes,Prisma Art Varco SRL,,No,"Dirigida a todos los artistas vivos, sin límite de edad, sexo, nacionalidad ni etnia. Disciplina: pintura, dibujo y grabado de cualquier tamaño y soporte. Requiere pago de inscripción. Las obras finalistas serán exhibidas en la galería online y podrán ganar premios trimestrales. Además, podrían ser elegidas para una exposición anual, un catálogo y premios de residencia o individuales organizados por colaboradores al final de cada trimestre.",,https://www.prismaartprize.com/,Convocatoria,"Visuales, Pintura, Dibujo, Grabado","April 5, 2025 10:18 PM",Falopa,,No,No,,No,,,No,,,Pago
"Convocatoria | Exposición Blue Photo ","Convocatoria | Exposición Blue Photo ",,https://decodegallery.com/blue,EEUU,"April 25, 2025",Yes,Decode Gallery,,No,"Dirigida a todos los fotógrafos del mundo, tanto aficionados como profesionales. Tema El Azul. Requiere pago de inscripción. Disciplina: fotografía. Se seleccionará al menos 26 imágenes para su exhibición. La galería se encarga de la impresión gratuita de los fotógrafos aceptados.",,https://decodegallery.com/blue,Convocatoria,"Visuales, Fotografía","April 5, 2025 10:20 PM",Falopa,,No,No,,No,,,No,,,Pago
