Nombre,Resumen generado por la IA,Destinatarios,URL,País,Fecha de cierre,Publicar,Entidad,Obtener Base URL,Obtener BASE URL?,Og_Resumida,Obtener Disciplinas,Base URL,Categoría,Disciplina,Created time,Estado de la oportunidad,AI keywords,Top,Obtener Requisitos,Robot Requisitos,Obtener Disciplina,Requisitos,Instituciones,Tutorial,URL Tutorial,Texto Tutorial,Inscripcion,Disciplina Limpia,Monto,Moneda,Monto_USD,Significativa,Premio_USD,Inscripcion_USD_web,Significativa_400
Residencia | Residencia de Creación en Artes Visuales con subvención,Residencia | Residencia de Creación en Artes Visuales con subvención,Destacar,https://www.fondationgrantham.org/en/creation-residency-in-visual-arts,Canadá,"May 28, 2025",Yes,Fondation Grantham,,No,"Dirigido a artistas con al menos cinco años de práctica profesional en artes visuales. No requiere pago. Disciplinas: fotografía, instalación, escultura, pintura, arte gráfico, performance, arte sonoro, prácticas digitales y mediáticas. Abierto a artistas de todo el mundo, incluida Latinoamérica.",,https://www.fondationgrantham.org/en/creation-residency-in-visual-arts,Residencia,"Visuales, Fotografía, Instalación, Escultura, Pintura, Arte gráfico, Performance, Arte sonoro",2025-04-03 16:44:00,,,No,No,,No,,,No,,,Sin cargo,Escénicas,,CAD,,False,10000.0,10000.0,True
Premio | XVIII Premio MAVI UC Arte Joven,Premio | XVIII Premio MAVI UC Arte Joven,,https://app.datarte.art/convocatorias/premio-mavi-uc-arte-joven-chile-2025,Chile,"May 4, 2025",Yes,Museo de Artes Visuales MAVI UC,,No,"Dirigido a artistas visuales de 18 a 35 años, chilenos o extranjeros con residencia y cédula chilena vigente. No requiere pago para participar. Disciplinas: pintura, dibujo, escultura, fotografía, grabado, técnicas mixtas, collage, arte textil, instalación, video instalación, videoarte y arte digital. Abierto solo a participantes que cumplan los requisitos en Chile.",,https://mavi.uc.cl/convocatorias-para-artistas/premio-mavi-uc-2024/,Premio,Visuales,2025-04-05 22:00:00,,,No,No,,No,,,No,,,Sin cargo,Visuales,,CLP,,False,,,False
Convocatoria | 22a. The Pollux Awards,Convocatoria | 22a. The Pollux Awards,,https://www.recursosculturales.com/pollux-awards/,Virtual,"April 28, 2025",Yes,FotoNostrum Group,,No,"Dirigido a fotógrafos de todo el mundo, profesionales y aficionados, que trabajen en todos los medios, estilos y corrientes de pensamiento. Edad: mayores de 13 años. Exposición en FotoNostrum durante 2026. Requiere pago de inscripción que varia según la cantidad.",,https://www.thepolluxawards.com/rules,Convocatoria,"Visuales, Fotografía",2025-04-05 22:07:00,,,No,No,,No,,,No,,,Pago,Visuales,,,,False,280.0,,False
Premio | Premio Argentino a las Artes Visuales Fundación OSDE,Premio | Premio Argentino a las Artes Visuales Fundación OSDE,Destacar,https://www.recursosculturales.com/premio-artes-visuales-fundacion-osde/,Argentina,"June 1, 2025",Yes,Fundación OSDE,,No,"Dirigido a artistas y colectivos argentinos o extranjeros con residencia de al menos dos años en Argentina, mayores de 18 años. Serán admitidas todas las expresiones de las artes visuales, sin límite de técnica, procedimiento y/o medios digitales. Se podrá presentar una (1) obra por artista o colectivo de artistas. La fecha de realización de la obra no podrá ser anterior al año 2023.
Disciplinas: todas las artes visuales sin restricciones técnicas. No está abierto a artistas de otros países de Latinoamérica.",,https://www.instagram.com/fundacionosde,Premio,Visuales,2025-04-05 22:07:00,Destacar?,,Yes,No,,No,,,No,,,Sin cargo,Visuales,,ARS,,False,3000000.0,,True
Premio | Concurso Segundas Películas 2025,Premio | Concurso Segundas Películas 2025,,https://www.recursosculturales.com/incaa-concurso-segundas-peliculas/,Argentina,"April 30, 2025",Yes,Instituto Nacional de Cine y Artes Audiovisuales (INCAA),,No,Dirigido a productores mayores de 18 años acompañados de directores que aspiren a dirigir su segundo largometraje de ficción. No requiere pago para participar. Disciplina: cine (largometrajes de ficción). Abierto exclusivamente a postulantes en Argentina.,,https://www.incaa.gob.ar/concurso-segundas-peliculas-2025/,Premio,"Cine, Largometraje",2025-04-05 22:07:00,,,No,No,,No,,,No,,,Sin cargo,Cine,,ARS,,False,225000.0,,True
Convocatoria | FotoNostrum Portrait Award,Convocatoria | FotoNostrum Portrait Award,,https://www.recursosculturales.com/fotonostrum-portrait-award/,España,"May 26, 2025",Yes,FotoNostrum,,No,Dirigido a fotógrafos profesionales y no profesionales mayores de 15 años de cualquier parte del mundo. Requiere pago. Disciplina: fotografía de retrato. Abierto a artistas de América Latina.,,https://www.theportraitaward.com/,Convocatoria,"Visuales, Fotografía",2025-04-05 22:08:00,,,No,No,,No,,,No,,,Pago,Visuales,,EUR,,False,,24.0,False
Convocatoria | Becas 2025 Museo del Prado,Convocatoria | Becas 2025 Museo del Prado,,https://www.recursosculturales.com/becas-museo-del-prado/,España,"April 28, 2025",Yes,Museo del Prado,,No,"Convocatoria de 12 becas de becas de investigación y formación que promuevan la capacitación técnica de especialistas en materias de la competencia del Museo del Prado: conservación, restauración, museología, desarrollo digital y gestión cultural. Cada una de las becas tendrá una duración de veinticuatro meses (24) consecutivos. Los aspirantes deben tener nacionalidad española o de algún otro Estado Miembro de la UE; ser residente en España en el momento de incorporarse a la beca; poseer un alto dominio del idioma español –hablado y escrito.",,https://www.museodelprado.es/museo/beca/becas-2025-museo-del-prado/66762c9d-453b-1996-5183-d855858ae22e,Beca,"Otras, Conservación, Restauración, Museología, Gestión Cultural",2025-04-05 22:08:00,,,No,No,,No,,,No,,,Sin cargo,Otras,,EUR,,False,,,False
Convocatoria| VI Premio Portfolio FotoNostrum,Convocatoria | VI Premio Portfolio FotoNostrum,,https://www.recursosculturales.com/fotonostrum-magazine-awards/,España,"May 12, 2025",Yes,Revista FotoNostrum,,No,Dirigido a fotógrafos profesionales y no profesionales a nivel mundial. Requiere pago de inscripción. Disciplina: fotografía. Está abierto a artistas de Latinoamérica. Se seleccionarán al menos 12 portfolios para su publicación en futuros números de la revista.Un portfolio recibirá el Premio FotoNostrum Magazine 2024. La temática es abierta y las imágenes pueden ser de cualquier fecha.,,https://www.fotonostrummag.com/magazine-awards-1,Convocatoria,"Visuales, Fotografía",2025-04-05 22:09:00,,,No,No,,No,,,No,,,Pago,Visuales,,EUR,,False,,36.0,False
Beca | Matriz. Beca de Creación Interdisciplinaria en Artes Escénicas,Beca | Matriz. Beca de Creación Interdisciplinaria en Artes Escénicas,,https://teatrocine-tvedras.pt/projetos,Portugal,"July 18, 2025",Yes,Teatro-Cine de Torres Vedras. Ayuntamiento de Torres Vedras,,No,"Dirigido a artistas mayores de 18 años, residentes en Portugal, en modalidades individuales o colectivas. No requiere pago. Disciplinas: danza, teatro y artes performativas interdisciplinarias. No está abierto para artistas de Latinoamérica.",,https://teatrocine-tvedras.pt/projetos,Beca,Escénicas,2025-04-05 22:14:00,Fuera del Universo,,No,No,,No,,,No,,,Sin cargo,Escénicas,,EUR,,False,,,False
Convocatoria | Common Grounds: Residencia para la Regeneración Urbana y Rural 2025,Convocatoria | Common Grounds: Residencia para la Regeneración Urbana y Rural 2025,,https://on-the-move.org/news/common-grounds-residency-urban-and-rural-regeneration-2025-bulgaria-france-spain,Múltiples Países,"April 13, 2025",Yes,"Citadelle de Marseille (FRA), Gradoscope (BG) y Fundación RIA (ESP)",,No,"Dirigido a artistas de todas las disciplinas, incluyendo artes visuales, arquitectura, video, fotografía, artesanía, artes escénicas, instalación y artes digitales. Se valorará el interés del artista en proyectos que combinen arte, naturaleza, paisaje, arte y ciencia. Los solicitantes deben dominar el inglés. No hay límites de nacionalidad, sin embargo, los candidatos deben residir en Marsella (Francia), Sofía (Bulgaria) o Galicia (España). Los artistas deben trabajar en una de las tres ciudades en cuestión.",,https://gradoscope.com/projects/common-grounds/,Convocatoria,"Multidisciplinar, Arquitectura, Visuales, Escénicas, Digital / Nuevos medios",2025-04-05 22:15:00,Fuera del Universo,,No,No,,No,,,No,,,Sin cargo,Escénicas,,USD,,False,,,False
