Nombre,Resumen generado por la IA,Destinatarios,URL,País,Fecha de cierre,Publicar,Entidad,Categoría,Created time,Obtener Base URL,Obtener BASE URL?,Base URL,Og_Resumida,Disciplina,Robot Requisitos,Agenda 2030,Estado de la oportunidad,Inscripcion,Disciplina Limpia,Monto,Moneda,Monto_USD,Significativa,Premio_USD,Inscripcion_USD_web,Significativa_400
Convocatoria | 5° Festival Ana Frank de teatro Joven y 1° Festival Ana Frank para elencos inclusivos,Convocatoria | 5° Festival Ana Frank de teatro Joven y 1° Festival Ana Frank para elencos inclusivos,,https://www.recursosculturales.com/festival-ana-frank-de-teatro-joven/,Argentina,"July 15, 2025",Yes,Sala de Teatro Ana Frank,Convocatoria,"March 29, 2025 10:09 PM",,No,https://centroanafrank.com.ar/sala-de-teatro/,"Convocatoria de obras teatrales dirigido a elencos jóvenes, incluyendo aquellos integrados por personas con discapacidad. Un jurado seleccionará diez propuestas destacadas, que podrán presentar funciones en la sala. El festival programado del 10 al 13 de octubre de 2025.","Escénicas, Teatro, Juvenil",,No,,Sin cargo,Escénicas,,ARS,,False,,,False
Premio | Prémio Imprensa Nacional/Ferreira de Castro 2025,Premio | Prémio Imprensa Nacional/Ferreira de Castro 2025,,https://incm.pt/site/candidaturas-abertas-a-7-a-edicao-do-premio-imprensa-nacional-ferreira-de-castro/,Portugal,"April 30, 2025",Yes,Imprensa Nacional-Ministerio de Asuntos Exteriores de Portugal,Premio,"March 29, 2025 10:11 PM",,No,https://incm.pt/site/candidaturas-abertas-a-7-a-edicao-do-premio-imprensa-nacional-ferreira-de-castro/,"Convocatoria a obras inéditas en las áreas de Ficción y Poesía, producidas por portugueses residentes en el extranjero y por personas de ascendencia portuguesa residentes en el extranjero. Además de la dotación económica de 5.000 euros, el Premio Imprensa Nacional/Ferreira de Castro también incluye la publicación de la obra premiada por Imprensa Nacional. Escritos en Portugués","Literatura, Ficción, Poesía",,No,,Sin cargo,Literatura,5000.0,EUR,5400.0,True,,,False
Convocatoria | FM[Ai]R 26 Residencia artística 2025/26,Convocatoria | FM[Ai]R 26 Residencia artística 2025/26,,https://on-the-move.org/news/linz-fmr-artist-residence-202526-digital-art-public-space-austria,Austria,"April 10, 2025",Yes,FMR – Festival de Arte en Contextos Digitales y Espacios Públicos,,"March 29, 2025 10:12 PM",,No,https://www.linzfmr.at/opencall,"Convocatoria para artistas en residencia para la 4ta. edición del FMR, que se llevará a cabo del 3 al 7 de junio de 2026 en Linz, Austria. Este festival bienal se enfoca en las interacciones entre lo digital y lo físico, presentando obras que emergen de espacios digitales y se transforman para el ámbito público. La residencia para artistas se desarrollará en dos fases: una de preparación en junio de 2025 y otra de producción en febrero o marzo de 2026. Se ofrecerán becas y apoyo durante ambas etapas, además de recursos para la creación artística.","Multidisciplinar, Arte digital, Tecnología, ",,Yes,,Sin cargo,Visuales,,,,False,,,False
Fondos | Fondo Internacional para la Diversidad Cultural 2025,Fondos | Fondo Internacional para la Diversidad Cultural 2025,Destacar,https://on-the-move.org/news/unesco-international-fund-cultural-diversity-2025,Múltiples Países,"May 21, 2025",Yes,UNESCO,Fondos,"March 29, 2025 10:12 PM",,No,https://www.unesco.org/creativity/en/articles/submit-your-project-international-fund-cultural-diversitys-2025-call-applications,"Dirigido a instituciones públicas y ONG del Sur Global, así como ONG internacionales de países firmantes de la Convención de 2005. Los proyectos deben apoyar políticas que fortalezcan la creación, producción, distribución y acceso a bienes y servicios culturales, así como las capacidades institucionales en industrias culturales locales y regionales. Pueden ser transversales o sectoriales, en siete áreas elegibles: audiovisual/cine, diseño, artes mediáticas, música, artes escénicas, edición y artes visuales.","Otras, Gestión Cultural, Organizaciones ",,Yes,Destacar?,Sin cargo,Otras,,USD,,False,,,False
Convocatoria | Reaktor Potenziale 2025 for Site-Specific Art,Convocatoria | Reaktor Potenziale 2025 for Site-Specific Art,,https://on-the-move.org/news/reaktor-potenziale-2025-site-specific-art-austria,Austria,"April 30, 2025",Yes,REAKTOR,Convocatoria,"March 29, 2025 10:12 PM",,No,https://reaktor.art/the-future/reaktor-potenziale-7,Dirigido a artistas visuales interesados en intervenciones site-specific. Disciplina: artes visuales con énfasis en intervenciones espaciales. Abierto principalmente a artistas de países de Europa Central; no se menciona apertura específica a artistas de Latinoamérica.,"Visuales, Diseño, Site-Specific Art, Escultura, Instalación",,No,,Sin cargo,Diseño,,,,False,,,False
Beca | General Idea Fellowship 2025-2026,Beca | General Idea Fellowship 2025-2026,,https://on-the-move.org/news/national-gallery-canada-general-idea-fellowship-2025-26-canada,Canada,"April 4, 2025",Yes,National Gallery of Canada,Beca,"March 29, 2025 10:12 PM",,No,https://www.gallery.ca/research/fellowships/general-idea-fellowship,"Dirigida a historiadores del arte, curadores, críticos, conservadores, estudiantes de posgrado e investigadores independientes de todo el mundo, incluyendo Latinoamérica. La investigación se relacionará con cualquier aspecto del arte contemporáneo, incluyendo pintura, dibujo, escultura, fotografía, grabado, libros de artista y múltiples, video, instalación y otros medios, y enfatizará el uso y la investigación de las colecciones de la Galería Nacional de Canadá.","Otras, Visuales, Curaduría, Conservación, Investigación",,No,,Sin cargo,Visuales,,,,False,,,False
Convocatoria | Live Works Free School of Performance 2025–2026,Convocatoria | Live Works Free School of Performance 2025–2026,,https://on-the-move.org/news/centrale-fies-live-works-free-school-performance-2025-2026-italy,Italia,"April 4, 2025",Yes, Centrale Fies in Dro,Convocatoria,"March 29, 2025 10:12 PM",,No,https://www.centralefies.it/live-works-free-school-of-performance-%F0%9F%91%81-new-open-call/,"Dirigida a artistas y profesionales de cualquier lugar geográfico, sin límite de edad, como individuos o grupos. Abarca diversas prácticas performativas, incluyendo artes sonoras y de nuevos medios, performances textuales, narrativa multimedia, prácticas coreográficas, y otros proyectos que cuestionen la idea de la performatividad más allá del cuerpo. Convocatoria para proyectos en residencia.","Escénicas, Performance, Arte Sonoro, Tecnología, Otras",,No,,Sin cargo,Escénicas,,EUR,,False,,,False
Premio | SOLO AI '25 Award,Premio | SOLO AI '25 Award,Destacar,https://on-the-move.org/news/solo-ai-25-awards-spain,España,"May 11, 2025",Yes,SOLO,Premio,"March 29, 2025 10:12 PM",,No,https://soloaiaward.com,"Se invita a artistas y creadores globales a investigar las convergencias entre las prácticas creativas contemporáneas y la inteligencia artificial. Disciplinas: arte digital y nuevos medios relacionados con inteligencia artificial. Abierto a artistas de América Latina. Esta convocatoria internacional otorgará 10.000 EUR para la producción del proyecto seleccionado, que se presentará en Madrid a finales de 2025.","Visuales, Arte digital, Nuevos medios, Interdisciplinar",,No,,Sin cargo,Visuales,10000.0,EUR,10800.0,True,,,False
Premio | LIII Concurso de Pintura Ciudad de Martos,Premio | LIII Concurso de Pintura Ciudad de Martos,,https://martos.es/convocatoria-de-martos-cultural-2025/,España,"June 2, 2025",Yes,Ayuntamiento de Martos,Premio,"March 29, 2025 10:16 PM",,No,https://martos.es/convocatoria-de-martos-cultural-2025/,"Dirigido a artistas mayores de edad que deseen participar. Los artistas participantes tendrán completa libertad de técnica y tendencias estéticas. Disciplina: pintura. Abierto a participantes sin limitación geográfica, incluyendo artistas de Latinoamérica. Un premio único de 4.000 euros.","Visuales, Pintura",,No,,Sin cargo,Visuales,4000.0,EUR,4320.0,True,,,False
"Convocatoria | Exposición Acts of Care: Nurturing the Present, Shaping the Future","Convocatoria | Exposición Acts of Care: Nurturing the Present, Shaping the Future",,https://womanmadegallery.submittable.com/submit/320522/acts-of-care-nurturing-the-present-shaping-the-future,EEUU,"May 14, 2025",Yes,Woman Made Gallery,Convocatoria,"March 29, 2025 10:17 PM",,No,https://womanmadegallery.submittable.com/submit/320522/acts-of-care-nurturing-the-present-shaping-the-future,"Dirigida a mujeres y artistas no binarios, incluyendo mujeres trans y personas género-queer femeninas/femme. Requiere pago, pero ofrece exenciones de tarifa. Disciplinas: todas las que incluyan un elemento visual. Abierta a artistas de todo el mundo, incluyendo América Latina.",Visuales,,No,,Pago,Visuales,,USD,,False,300.0,15.0,False
