País,Categoría,Disciplina Limpia,Monto_USD
Canadá,Residencia,Escénicas,10000.0
Chile,Premio,Visuales,3220.13
Argentina,Premio,Visuales,11208.16
Argentina,Premio,Cine,450000.0
España,Convocatoria,Visuales,1698383.59
Portugal,Beca,Escénicas,11794.33
Malta,Residencia,Otras,10800.0
Alemania,Beca,Cine,35389.46
Argentina,Convocatoria,Visuales,4569.71
Bulgaria,Residencia,Diseño,1350.0
EEUU,Residencia,Diseño,1600.0
Alemania,Premio,Visuales,5400.0
Argentina,Fondos,Escénicas,6820.0
España,Premio,Literatura,15329.01
Argentina,Residencia,Otras,1356.03
EEUU,Beca,Otras,10000.0
Argentina,Premio,Visuales,9962.68
España,Premio,Música,1178.63
Suiza,Convocatoria,Visuales,1892.74
Portugal,Convocatoria,Escénicas,1179.3
EEUU,Convocatoria,Visuales,1000.0
España,Premio,Literatura,37800.0
España,Premio,Literatura,189000.0
España,Residencia,Literatura,3535.42
España,Residencia,Visuales,3535.42
España,Premio,Literatura,29461.85
EEUU,Beca,Música,10000.0
Reino Unido,Beca,Literatura,3432.21
Letonia,Convocatoria,Visuales,4118.65
Japón,Beca,Diseño,1340.0
EEUU,Beca,Música,2500.0
Austria,Convocatoria,Otras,23564.3
Argentina,Apoyo,Escénicas,8302.45
Argentina,Fondos,Cine,8302.45
Argentina,Premio,Visuales,1328.39
Múltiples Países,Residencia,Otras,117804.5
Argentina,Convocatoria,Visuales,1909.45
España,Beca,Visuales,117804.5
España,Beca,Música,3239333.76
España,Premio,Literatura,5300.73
España,Premio,Música,2160.0
España,Premio,Literatura,7067.64
Austria,Convocatoria,Otras,6480.0
Múltiples Países,Premio,Visuales,8000.0
Francia,Premio,Visuales,10800.0
EEUU,Residencia,Música,4000.0
Francia,Premio,Música,9423.52
Uruguay,Fondos,Otras,2600.0
Múltiples Países,Fondos,Escénicas,10800.0
España,Premio,Visuales,1080.0
México,Premio,Visuales,171000.0
España,Premio,Literatura,6480.0
España,Premio,Literatura,10800.0
España,Beca,Música,8640.0
Múltiples Países,Residencia,Otras,14580.000000000002
Alemania,Convocatoria,Otras,16200.000000000002
EEUU,Beca,Escénicas,10000.0
Portugal,Convocatoria,Visuales,3240.0
Argentina,Fondos,Otras,24200.0
Argentina,Beca,Escénicas,3300.0
Francia,Premio,Visuales,2160.0
Múltiples Países,Residencia,Visuales,43200.0
España,Premio,Diseño,2160.0
EEUU,Convocatoria,Música,3000.0
Chile,Fondos,Otras,22000.0
Chile,Fondos,Literatura,4400.0
Chile,Fondos,Cine,16500.0
Chile,Fondos,Música,27500.0
Chile,Fondos,Cine,27500.0
Chile,Fondos,Cine,16500.0
Chile,Premio,Música,6600.0
Chile,Premio,Visuales,1100.0
España,Convocatoria,Cine,2700.0
Argentina,Fondos,Escénicas,2200.0
Argentina,Fondos,Escénicas,13200.0
España,Premio,Escénicas,1296000.0
España,Premio,Visuales,1296000.0
Alemania,Residencia,Diseño,1080.0
Francia,Premio,Visuales,37800.0
Canadá,Convocatoria,Diseño,277500.0
Reino Unido,Premio,Visuales,6250.0
España,Premio,Visuales,6480.0
Japón,Premio,Visuales,3350.0
España,Premio,Visuales,5670.0
Singapur,Residencia,Escénicas,2160.0
Alemania,Convocatoria,Cine,10800.0
México,Fondos,Otras,128064.62
México,Convocatoria,Otras,5700.0
México,Convocatoria,Escénicas,1140.0
México,Premio,Visuales,175728.99
México,Premio,Visuales,4268.82
España,Residencia,Otras,1620.0
EEUU,Beca,Otras,3000.0
EEUU,Convocatoria,Visuales,15000.0
Perú,Convocatoria,Visuales,40000.0
España,Convocatoria,Escénicas,1080.0
Hong Kong,Premio,Música,10587.49
Portugal,Beca,Otras,2430.0
Múltiples Países,Fondos,Música,8640.0
Alemania,Premio,Música,5400.0
España,Residencia,Diseño,3456.0
Líbano,Beca,Otras,25000.0
EEUU,Beca,Visuales,2000.0
Reino Unido,Convocatoria,Visuales,1153.75
EEUU,Premio,Visuales,15000.0
EEUU,Convocatoria,Música,1000.0
España,Premio,Literatura,3240.0
España,Premio,Literatura,1080.0
España,Premio,Literatura,1080.0
España,Premio,Literatura,3510.0
España,Premio,Literatura,2160.0
España,Premio,Literatura,2160.0
EEUU,Premio,Literatura,1400.0
España,Premio,Literatura,2160.0
España,Premio,Literatura,2160.0
España,Premio,Escénicas,1080.0
España,Beca,Literatura,54000.0
España,Premio,Literatura,8640.0
España,Premio,Escénicas,4320.0
España,Premio,Literatura,3240.0
España,Premio,Literatura,3240.0
España,Premio,Literatura,5400.0
España,Premio,Literatura,1080.0
México,Premio,Literatura,19950.0
España,Premio,Literatura,10800.0
España,Premio,Diseño,1080.0
España,Premio,Literatura,1080.0
México,Premio,Literatura,2850.0
México,Premio,Literatura,2850.0
México,Premio,Literatura,8550.0
España,Premio,Literatura,1080.0
España,Premio,Literatura,6480.0
España,Premio,Literatura,16200.0
